scenario,previous_state,team_t_minus_1_vs_team_t,team_vs_peer_average,target_attainment,predicted_escalation_share,p_state_t_aversion,p_state_t_neutral,p_state_t_appreciation
Low X / Low Y,Aversion,-0.14478961207049476,-0.14275773601050712,0.05024175824175824,0.5917114571493769,0.9560105088452313,0.04398378889612003,5.702258648459687e-06
Low X / Low Y,Neutral,-0.14478961207049476,-0.14275773601050712,0.05024175824175824,0.588730128655479,0.829241041296199,0.17021307573027755,0.00054588297352326
Low X / Low Y,Appreciation,-0.14478961207049476,-0.14275773601050712,0.05024175824175824,0.5676448801591488,0.2006818684033735,0.6967625547887656,0.10255557680786083
High X / Low Y,Aversion,0.1408422670145398,-0.14275773601050712,0.05024175824175824,0.5910812351254922,0.9289633758344488,0.07100809668274585,2.8527482805517733e-05
High X / Low Y,Neutral,0.1408422670145398,-0.14275773601050712,0.05024175824175824,0.5915921559718257,0.9548186012688412,0.04373224954948673,0.001449149181671962
High X / Low Y,Appreciation,0.1408422670145398,-0.14275773601050712,0.05024175824175824,0.5819638233119463,0.6832680948290715,0.26303219589141746,0.05369970927951106
Low X / High Y,Aversion,-0.14478961207049476,0.15912939552225133,0.05024175824175824,0.565032140165365,0.011466640256224674,0.9141242933044353,0.07440906643934005
Low X / High Y,Neutral,-0.14478961207049476,0.15912939552225133,0.05024175824175824,0.5677923299970122,0.00014656809350093068,0.9730906990878282,0.02676273281867099
Low X / High Y,Appreciation,-0.14478961207049476,0.15912939552225133,0.05024175824175824,0.5069557546166568,7.668645323023638e-08,0.014540296042984187,0.9854596272705625
High X / High Y,Aversion,0.1408422670145398,0.15912939552225133,0.05024175824175824,0.5569212564821635,0.00599310452256689,0.793780129007761,0.20022676646967225
High X / High Y,Neutral,0.1408422670145398,0.15912939552225133,0.05024175824175824,0.5554650835511555,0.0005253706036420464,0.7783025744748803,0.2211720549214776
High X / High Y,Appreciation,0.1408422670145398,0.15912939552225133,0.05024175824175824,0.5067010478774175,5.006733508563502e-07,0.010525680292284106,0.989473819034365
